127.0.0.1, 2024-01-09 12:14:08, GET, /admin/default/edit/sistemaGestionEscolar/views/estudiante_controlador/estudiante.html, HTTP/1.1, 200, 0.516942
127.0.0.1, 2024-01-09 12:14:08, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.583573
127.0.0.1, 2024-01-09 12:14:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.623477
127.0.0.1, 2024-01-09 12:14:11, GET, /admin/default/files_menu, HTTP/1.1, 200, 3.190824
127.0.0.1, 2024-01-09 12:14:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 2.833489
127.0.0.1, 2024-01-09 12:14:18, GET, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_salones.py, HTTP/1.1, 200, 0.027524
127.0.0.1, 2024-01-09 12:14:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.020559
127.0.0.1, 2024-01-09 12:14:26, GET, /admin/default/edit/sistemaGestionEscolar/modules/modelos/modelo_estudiante.py, HTTP/1.1, 200, 0.032257
127.0.0.1, 2024-01-09 12:14:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018054
127.0.0.1, 2024-01-09 12:14:33, GET, /sistemaGestionEscolar/estudiante_controlador/estudiante, HTTP/1.1, 500, 2.036895
127.0.0.1, 2024-01-09 12:14:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 12:14:35, GET, /admin/default/ticket/sistemaGestionEscolar/127.0.0.1.2024-01-09.12-14-31.2d0be03a-98a6-4b42-9513-2c6544e3cbab, HTTP/1.1, 200, 1.350574
127.0.0.1, 2024-01-09 12:14:36, GET, /favicon.ico, HTTP/1.1, 400, 0.003653
127.0.0.1, 2024-01-09 12:14:50, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_salones.py, HTTP/1.1, 200, 0.172132
127.0.0.1, 2024-01-09 12:14:54, GET, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_estudiante.py, HTTP/1.1, 200, 0.037211
127.0.0.1, 2024-01-09 12:14:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.024785
127.0.0.1, 2024-01-09 12:14:54, GET, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_materia.py, HTTP/1.1, 200, 0.033044
127.0.0.1, 2024-01-09 12:14:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023741
127.0.0.1, 2024-01-09 12:14:55, GET, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_salones.py, HTTP/1.1, 200, 0.037131
127.0.0.1, 2024-01-09 12:15:00, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_salones.py, HTTP/1.1, 200, 0.073950
127.0.0.1, 2024-01-09 12:15:06, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_salones.py, HTTP/1.1, 200, 0.052915
127.0.0.1, 2024-01-09 12:15:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.175081
127.0.0.1, 2024-01-09 12:15:08, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.359961
127.0.0.1, 2024-01-09 12:15:11, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_estudiante.py, HTTP/1.1, 200, 0.097549
127.0.0.1, 2024-01-09 12:15:14, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_estudiante.py, HTTP/1.1, 200, 0.054356
127.0.0.1, 2024-01-09 12:15:18, POST, /admin/default/edit/sistemaGestionEscolar/modules/factory/factoria_materia.py, HTTP/1.1, 200, 0.055273
127.0.0.1, 2024-01-09 12:15:22, GET, /sistemaGestionEscolar/estudiante_controlador/estudiante, HTTP/1.1, 200, 1.103728
127.0.0.1, 2024-01-09 12:15:30, GET, /admin/default/edit/sistemaGestionEscolar/controllers/materias_controlador.py, HTTP/1.1, 200, 0.048499
127.0.0.1, 2024-01-09 12:15:30, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.037458
127.0.0.1, 2024-01-09 12:15:33, GET, /admin/default/edit/sistemaGestionEscolar/controllers/estudiante_controlador.py, HTTP/1.1, 200, 0.039893
127.0.0.1, 2024-01-09 12:15:33, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023160
127.0.0.1, 2024-01-09 12:15:36, GET, /admin/default/edit/sistemaGestionEscolar/controllers/materias_controlador.py, HTTP/1.1, 200, 0.037611
127.0.0.1, 2024-01-09 12:16:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.185447
127.0.0.1, 2024-01-09 12:16:09, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.459963
127.0.0.1, 2024-01-09 12:17:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.402303
127.0.0.1, 2024-01-09 12:17:15, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 6.050744
127.0.0.1, 2024-01-09 12:18:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.763716
127.0.0.1, 2024-01-09 12:18:21, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 10.950871
127.0.0.1, 2024-01-09 12:19:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.419308
127.0.0.1, 2024-01-09 12:19:24, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 13.206489
127.0.0.1, 2024-01-09 12:20:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 4.109396
127.0.0.1, 2024-01-09 12:20:22, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 10.692540
127.0.0.1, 2024-01-09 12:21:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.238823
127.0.0.1, 2024-01-09 12:21:21, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 7.951209
127.0.0.1, 2024-01-09 12:22:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.158203
127.0.0.1, 2024-01-09 12:22:24, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 9.296985
127.0.0.1, 2024-01-09 12:23:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.418379
127.0.0.1, 2024-01-09 12:23:18, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 3.128851
127.0.0.1, 2024-01-09 12:24:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.511959
127.0.0.1, 2024-01-09 12:24:22, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.701027
127.0.0.1, 2024-01-09 12:25:27, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 9.532517
127.0.0.1, 2024-01-09 12:25:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 14.639769
127.0.0.1, 2024-01-09 12:26:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.759702
127.0.0.1, 2024-01-09 12:26:10, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.771741
127.0.0.1, 2024-01-09 12:27:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.421876
127.0.0.1, 2024-01-09 12:27:12, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.918859
127.0.0.1, 2024-01-09 12:28:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.483246
127.0.0.1, 2024-01-09 12:28:14, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 2.088979
127.0.0.1, 2024-01-09 12:29:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.230738
127.0.0.1, 2024-01-09 12:29:15, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 2.067608
127.0.0.1, 2024-01-09 12:30:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 8.800657
127.0.0.1, 2024-01-09 12:30:26, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 12.258832
127.0.0.1, 2024-01-09 12:31:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.924129
127.0.0.1, 2024-01-09 12:31:16, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.002807
127.0.0.1, 2024-01-09 12:32:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.728968
